Comment_clean,Label_id
thalaiva chance e illa thalaiva  ovoru sean um sema super,0
marked my comment simbu pesrathu matum than padathula puriyum..,1
title card bgm vara level nu soluravuga like pl,1
router එකේ ප්‍රශ්නයක් වෙන්න පුලුවන්.,0
"kathi paththi pesura ellarukkum orey oru vidai than..koduppavanidamum,uduppu thayarippavanidamum jaathi parththal anaivarin nilai kovanamey..jathiyai pesu ..aanal jaathiyai mattumey pesathey..uyarnthavar endru oruvan illai..thaalnthavan endrum oruvan illai..",1
tha apdiyae keka paka keka paka short film da  credits aavadhu kudungudaww,0
"புலி பதுங்கியது அதிரடியாய் தெறிக்கத்தானோ?? கண் இமைக்காமல் வியக்கவைத்து பலமுறை பாா்க்க வைக்கும் trailerum, repeat modelல் கேட்கவைக்கும் பாடல்களும் போதுமே படம் sooperr doopperr hit என்று சொல்ல!! காவலனாய், காதலனாய், தந்தையாய் திரையில் வலம் வந்தாலும், everything in the world to me is vijay.. தெறி baby!!",0
eppo enna panna porome .. haha..!! sweet sapda porome .. !!,0
nuwan asama papedi surayek supiyatama wede kala jayawewa,0
"படம் வெற்றியடைய வாழ்த்துகள்..  திரையில் காண ஆவலாக காத்திருக்கிறேன்..  இயக்குனர் மற்றும் தயாரிப்பாளருக்கும் நன்றிகளும், வாழ்த்துக்களும்..",0
i am vijay sir fan but surya annan veriyan da காத்திருப்போம்,0
surya fans selvaragavan fans and u1 fans like here,0
viber giyoth deta kapenwda,0
adii dhool mass teaser .thalaivaa acting la summa pinnitinga waiting for aug 30,0
stylish star  rajini sir,0
"thiruvannamalai district, thandarampattu talk, (chinniyampettai vanniyar kula sathriyar kal sarbaka வெற்றி பெற வாழ்த்துகள்",0
thala ne va thala unakaga naanga irukom thala.. thaa thala vararu oram ponga da..,1
இந்த திரைப்படத்தை எதிர்த்து எவனாவ-து வழக்குத்தொடர்ந்தால்..எங்களுக்குத்தெரிவியுங்கள்.- இப்படிக்கு சாணார்கள்.,0
superb trailer thala ajith kumar 24years,0
apoo siknal ne eka nisa wedak ne,0
விழுப்புரம் மற்றும் கள்ளக்குறிச்சி வன்னியகுல சத்ரியன் சமுகத்தின் சார்பாக த்ரௌபதி படம் வெற்றியடைய வாழ்த்துகள்,0
මගේ වැඩ,0
wadak na 4g package ekak active kara,0
sadu sadu sadu..,0
thala  naa getthu getthu naa thala,0
தாழ்த்தப்பட்டோர் எடுத்தா அது திரைப்படம் உயர் வகுப்பினர் எடுத்தால் அது கலவரமா,0
eallathukum karanam anthu ranjith ahu thann,0
blue satta..ithuku mattum nee negative comment kuduthaa..nee manushane illaa.. .,1
worst app ever 🤮,0
කොකිස්😁 කැවුම්😂,0
"to activate this channel, use the mylebsack app or type on<space>your lebsack television account number<space>68 & sms to 697 from your lebsack mobile or to 0770697697 from any other mobile network. #watchitonktv #wwe #royalrumble",0
shakthi man 2k version da,1
"hariyata kiyala balanna, eehema nam hari naha",0
enna da trailer kannapundai madiri iruku,1
i am sure that they kept the request pending in the system isn’t my fault.,0
ethu poola aathigama padam varranum anna neega pannuga naaga support penrom,0
"upload speed eka anuwa, 100mb upload wenna paya 6k wat yai",0
ommala.. ambuttu payalayum.. oda oda .. adika porom.. f**k politician,1
sundra pandiyan la paatha maariyae illa,1
lalettan  suriya annan  kaappaan,0
trailer forward pani pathavagalam like poduga,0
namma thalpathy padamvarrthu surya anna marinillungoo.,1
its sleek design and being fully-featured is simply awesome! :),0
வாழ்த்துகள்..இப்பட இயக்குனர் அவர்களுக்கு.. இன்னும் எதிர்பார்க்கிறோம்.. சகோ..,0
බොලු යකෝ ඔය,0
price plz,0
"55k dislike iam waiting for mersal trailer summa dis likela  theriku  poguthuu , guyz views kuda vara kudathu odani dis like panitu close panidunga",1
6️⃣ඊට පස්සේ ඔයාට එනවා පැය 6 internet pack එක active කර ගන්න කියලා.දැන් ඒක active කර ගන්න.,0
pink remake but ajit is good,0
ஓவியம் வரைறவன் தன் புள்ளய்க்கு என்ன சொல்லி தருவான்  -ஓவியம் வரைய correct  எங்க அப்பா military டா கோலி விளையாடவா சொல்லி தருவான் semma dialogue,0
ntr _ ajith mutuals like here,0
what a man super thalaiva,0
யாதவ குலத்தின் சார்பாக படம் வெள்ளி விழா கொண்டாட வாழ்த்துக்கள்,0
கெக்க புக்க ஷார்ட் பிலிம் ஓட copy மாதிரி இருக்கு,1
"we are waiting for 4g, don't tell lier..",0
pangaaligala intha vegam paththaathu innum vegama likes ah therika vidunka,0
lebsack ake enna gonnuntama hoda kridawak oka .,1
english la eduthurukalam.. hollywood level la iruku..,0
bigil lavadhu mannavadhu indhe padam pakkanum,1
they gave me only 3 gb as loyalty data.,0
ஈரோடு மாவட்ட கொங்கு போயர்கள் சார்பாக வாழ்த்துக்கள்,0
this guy is doing same old shit ..looks like 1990s movie..,1
වහාම දැනුවත් දැනුවත් කරණු.,0
ivana vachi laam padam yeeda yedukiringa mokka punda da ivan  act pannave theriyathu ivanukku,0
the whole quota was exceeded by 05/17 which is extremely unlikely.,0
keka beka shortfilm panna director  ahh indha movie direct pannuraru yarna therinka slunga,0
gvp acting bathila music podalam ..athula tha avaru mass..ippidi nenaikuravanga like podunga..,0
from 20th december 2019 to upto date.& not response at that time.,0
"interstellar, gravityனு ஹாலிவுட்ல scientific படமா எடுக்கறான். இவனுங்க இன்னும் ஜாதி மதம்னு உருண்டுகிட்டு இருக்கானுங்க. இப்டியே போச்சுனா திரும்ப கிருஸ்தவ வெள்ளைக்காரன்ட அடிமையாதான் வாழனும்",0
மாவீரர் மருதநாயகம் பிள்ளை மற்றும் ஒட்டுமொத்த வெள்ளாளர் வேளாளர் சமுதாயம் சார்பாகவும் வாழ்த்துக்கள்,0
ethana peru pathutrikkinga inga like pannunga,0
nadaga kadhal kozthi kadral start aiduchi,1
tamilar tamilar nu soldringa. produce pandradhuku reddy dhan kedaichara?,1
"அடப்பாவிங்களா இந்த அரசியல்வாதிங்கதான் பாகிஸ்தான ஒரு ஆயுதமா use பன்னுறானுங்கனு பாத்தா படத்துலயுமா,பகுத்தறிவுனு ஒன்னு இருக்கா",1
my internet & call faclitlity is not working.,0
mass 10 m views ajith fans umbu,1
is slack included?,0
mass indhe padam 300 cross valadum,0
summah.,0
அரசியல்.. சூல்நிலைகள் யாருக்கு உதவுதோ இல்லையோ.. திரைப்படங்களுக்கு நல்லாவே உதவுது..  #pakkateaser,0
vivegam mokka nu sonna sarkar boys..,1
morning enthericha odane trailer pakravaga like poduga,0
bambu thamai coverg thiyannea kochara complent karath no response,1
oruthar mela viswasam kaatta yen inoruthara asinga paduthureenga..,1
வெறி ஏத்தி விட்டு அழகு பாக்குறவன் டா இந்த சினிமாக்காரன்:-,0
රුපියල් 85ක් යකෝ extra gb එකක්.,1
sariyana potti  pongalukkutha thalaya &thalaivara,1
pakkathana poringa pongal annaikku namma kaaliyoda attatha,1
වැඩිම ත්‍යාග ලබා ගන්නා අවුරුදු කුමරන්ට සහ කුමරියන්ට ත්‍යාග හිමි වේ. තරඟ ත්‍යාග පිළිබඳ විස්තර  #batzdigitalavurudu,0
disgraceful service..,0
elam mariduchi sam.c.s oda thara  ra thara ra matum marala  but nalaruku,1
