Comment,Label
movie vara level la Erika poguthu,NON_HATE
Padam nalla comedy padama irukum polaye..,NON_HATE
karthick subburaj anne .... intha padam vetri adaya unagalukku ennudaya valthukkal...,NON_HATE
கவுண்டர் தேவர்.சார்பாக வெற்றி பெற வாழ்த்துக்கள் 🦁,NON_HATE
ippo intha trailer ah parkuravana oru like podunga,NON_HATE
En thalaivan yogi babu irukkaar. Padam vera level laa irukkum,NON_HATE
Nerkonda parvai...  Sema sema sema trailer,NON_HATE
ஏய் இது 96 யார் ஏமாத்தறீங்க? செம பின்னிட்டீங்க,NON_HATE
படம் கண்டிப்பாக வெற்றி பெற வேண்டும் செம்ம vara level,NON_HATE
Correct. Enga apa military da oodi vilaiyada solli tharuvaaaayaa,HATE
Dislike pottavan ratham khaki dha savan,NON_HATE
ANANDHI ARMY HIT LIKE!! Ennayum ipdi aakitingale Anandi... #AnbukkuNanAdimai,NON_HATE
Thalaivaa mass nadipin nayagan surya anna fans hits like,NON_HATE
இந்த படம் கண்டிப்பாக வெற்றியடைய வேண்டும் என வாழ்த்துகிறேன்....,NON_HATE
Hit like if anybody laughed during this 1.06 .... Thaamasuuuu!!,NON_HATE
"I Love vijay Anna, u r so cute anna",NON_HATE
Dei Rajini pavam da ne varaven poraven ellam karithuppatha koraiya pesittu erukkan 1:58,HATE
செட்டியார் இன மக்கள் சார்பாக எனது சொந்த செலவில் 100 டிக்கெட் இலவசமாக வழங்குகிறேன். படக்குழுவினர்க்கு எனது மனமார்ந்த வாழ்த்துக்கள்,NON_HATE
Dhanush fans hit like here.....,NON_HATE
"Dey dey deyyy,, loosu pasangala,, munna pinna jayalalitha amma va pathrukingalada gambeeramna ennanu avanga kannula tha paakanum,, amma oda history ah ithu,, soniya gandhi mari iruku chaiiii,,, avanga bio edukanumna a-z pathutu vanthu edungadaa,, dummy akkaathinga",HATE
aathii yenna pa different aah eruku sama,NON_HATE
Viswasam teaser Ku aprm yarllam inga vanteenga?,NON_HATE
Intha maari comments ku like kekuravangala india va vittu veliya annupanum,HATE
